bias_correction_C,corrected_central_peak_C,P_exceed_1.5C_pct,P_exceed_2.0C_pct
0.0,1.911001981954397,99.97500000000001,23.695
0.025,1.936001981954397,99.97500000000001,25.0
0.05,1.9610019819543971,99.97500000000001,28.23
0.075,1.986001981954397,99.97500000000001,31.085
0.1,2.011001981954397,99.97500000000001,35.38
0.125,2.036001981954397,99.97500000000001,41.120000000000005
0.15,2.061001981954397,99.97500000000001,46.45
0.175,2.086001981954397,99.97500000000001,51.595
0.2,2.1110019819543973,99.97500000000001,56.584999999999994
0.225,2.136001981954397,99.97500000000001,59.915
0.25,2.161001981954397,99.97500000000001,62.755
0.275,2.186001981954397,99.97500000000001,64.75
0.3,2.211001981954397,99.97500000000001,66.9
