=======================================================================================,
ECMWF ERA5 (0.5x0.5 deg),
Sea Surface Temperature Anomaly (deg C) (1991-2020),
Values averaged across Nino 3.4 (5S-5N; 190E-240E),
---------------------------------------------------------------------------------------,
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org),
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu),
=======================================================================================,
time,sst
197302,1.311
197303,0.761
197304,-0.201
197305,0.009
197306,-0.728
197307,-0.547
197308,-1.098
197309,-1.486
197310,-1.453
197311,-1.745
197312,-1.878
197401,-2.058
197402,-1.621
197403,-1.516
197404,-1.108
197405,-0.766
197406,-0.587
197407,-0.646
197408,-0.073
197409,-0.302
197410,-0.977
197411,-0.948
197412,-1.022
197501,-0.712
197502,-0.361
197503,-0.591
197504,-0.739
197505,-1.111
197506,-1.099
197507,-0.987
197508,-0.961
197509,-1.507
197510,-1.879
197511,-1.585
197512,-1.747
197601,-2.027
197602,-1.405
197603,-1.237
197604,-0.890
197605,-0.364
197606,0.043
197607,0.271
197608,0.275
197609,0.525
197610,0.292
197611,0.265
197612,0.184
197701,0.393
197702,0.175
197703,-0.306
197704,-0.652
197705,-0.350
197706,-0.112
197707,-0.118
197708,-0.268
197709,0.070
197710,0.071
197711,0.590
197712,0.344
197801,0.508
197802,0.547
197803,-0.240
197804,-0.647
197805,-0.707
197806,-0.709
197807,0.095
197808,-0.138
197809,-0.507
197810,-0.666
197811,-0.710
197812,-0.359
197901,-0.012
197902,0.124
197903,0.120
197904,0.228
197905,0.178
197906,-0.232
197907,-0.367
197908,0.134
197909,0.169
197910,-0.011
197911,-0.023
197912,0.308
198001,0.562
198002,0.329
198003,0.106
198004,0.121
198005,-0.039
198006,-0.084
198007,-0.473
198008,-0.526
198009,-0.204
198010,-0.405
198011,-0.359
198012,-0.400
198101,-1.073
198102,-1.205
198103,-0.892
198104,-0.919
198105,-0.699
198106,-0.751
198107,-0.499
198108,-0.604
198109,-0.474
198110,-0.552
198111,-0.492
198112,-0.309
198201,-0.210
198202,-0.139
198203,0.055
198204,0.516
198205,0.716
198206,0.858
198207,0.743
198208,1.172
198209,1.579
198210,2.035
198211,2.432
198212,2.665
198301,2.690
198302,2.090
198303,1.612
198304,0.976
198305,0.791
198306,0.450
198307,-0.271
198308,-0.443
198309,-0.449
198310,-0.835
198311,-1.091
198312,-1.023
198401,-0.648
198402,-0.550
198403,-0.671
198404,-0.539
198405,-0.528
198406,-1.084
198407,-0.720
198408,-0.456
198409,-0.284
198410,-0.862
198411,-1.328
198412,-1.282
198501,-1.038
198502,-0.821
198503,-0.780
198504,-0.923
198505,-0.797
198506,-0.724
198507,-0.693
198508,-0.385
198509,-0.554
198510,-0.472
198511,-0.517
198512,-0.518
198601,-0.865
198602,-0.786
198603,-0.625
198604,-0.458
198605,-0.427
198606,-0.150
198607,-0.080
198608,0.451
198609,0.580
198610,0.871
198611,1.028
198612,1.240
198701,1.386
198702,1.053
198703,1.158
198704,0.757
198705,0.797
198706,1.161
198707,1.351
198708,1.747
198709,1.544
198710,1.293
198711,1.132
