episode,date_paroxysme_enso,total,trend,enso,seasonal,trend_pct,enso_pct,seasonal_pct,ext_var,ext_var_pct
1982-1983,1983-04-01,0.6798829629379951,0.5323564806883716,0.20678632063870508,-0.05925983838908152,78.30119442733,30.414987859839027,-8.716182287169032,-0.047182962937995065,-6.939865463623644
1997-1998,1998-04-01,0.9666762401850276,0.7996274764355258,0.22630860213858342,-0.05925983838908152,82.71926454740134,23.411002849854526,-6.130267397255863,0.06362375981497237,6.581703073905531
2015-2016,2016-04-01,1.4206266675407981,1.2519138352246493,0.2279726707052303,-0.05925983838908152,88.1240556600136,16.047331499124017,-4.171387159137619,0.01837333245920192,1.2933258877230154
2026-2027 (projection),2027-04-01,1.895591211815528,1.598964272130662,0.3558867780739474,-0.05925983838908152,84.35174536387687,18.77444756314797,-3.126192927024842,,
