month,median,p05,p25,p75,p95,q0,q100,n_models,n_members
2026-08-01,2.8568090322580644,2.602908333333333,2.738332801022038,2.9918379975574183,3.069011297709924,2.4769,3.1736,12,610
2026-09-01,3.362740806851507,2.964367741935484,3.17165559772296,3.5035,3.7000023578026324,2.7211,3.8921,13,650
2026-10-01,3.6811419154107954,3.043057142857143,3.4286425400876706,3.916652113927133,4.448400000000051,2.5364,4.7494,13,650
2026-11-01,3.9590235922054777,3.16341652892562,3.599539800165965,4.240902534140629,4.784190000000012,2.6857,4.964,13,650
2026-12-01,3.918,2.915007741935484,3.557718943051084,4.347833823529413,4.789800000000036,2.508,5.5547,13,650
2027-01-01,3.6102524781783867,2.572227741935484,3.0676419851076018,4.206377647058824,4.9750000000000245,2.1279,5.7612,13,650
2027-02-01,3.1265000000000054,2.0823,2.4186,3.998550000000002,5.212350000000007,1.7888,5.3911,6,110
2027-03-01,2.657266666666668,1.478,1.86795,3.327950000000001,5.059300000000003,0.8219,5.1865,6,110
2027-04-01,2.3004,0.7223999999999999,1.34618,2.92465,4.76315,0.1333,4.9736,6,110
2027-05-01,0.8658500000000002,-0.70955,0.21863333333333332,2.7479000000000027,3.295150000000027,-0.943,3.4944,3,80
