date,total,trend,enso,enso_pct,enso_p5,enso_p95,enso_pct_p5,enso_pct_p95,seasonal
2026-07-01,1.4694397357222202,1.5735990883897237,0.007200985627209866,0.4900497415547721,0.0036675054310553673,0.010715081832566966,0.2543910380942185,0.725758609759911,-0.11136033829471342
2026-08-01,1.4859865216702213,1.5764051375031116,0.04547434629152157,3.0602125677700798,0.023129260349407155,0.06770088956404992,1.5955060692675374,4.480488449050996,-0.13589296212441193
2026-09-01,1.5050169397900073,1.579214262775401,0.08961277166920752,5.954269968663014,0.04551779131355632,0.13348176653932334,3.1510170555056165,8.630289580524023,-0.16381009465460108
2026-10-01,1.565674172352997,1.582026464206591,0.13829099575896925,8.83268040061851,0.07014887253464572,0.2060961255570583,4.736799512223426,12.657343289486885,-0.15464328761256343
2026-11-01,1.6488417467092493,1.5848417417966831,0.1960548211067698,11.890457134412996,0.09931603402225951,0.2923325006260458,6.441821490781568,16.782766291444943,-0.13205481619420364
2026-12-01,1.7929454004542253,1.587660095545676,0.255302342075173,14.239270309653302,0.12915499904104505,0.3808708976713422,7.8371747553300555,19.874355644358406,-0.05001703716662372
2027-01-01,1.8969654478928812,1.5904815254535705,0.3064839224393109,16.156536893159984,0.15483823979862657,0.4574607812844495,8.90772728562617,22.315258838464057,0.0
2027-02-01,1.8978108100962803,1.5933060315203664,0.34069609074385443,17.952057651445777,0.17189027720363498,0.5087873029675712,9.951139139399388,24.668454602680335,-0.03619131216794065
2027-03-01,1.911001981954397,1.5961336137460638,0.3579861214329274,18.732901630317105,0.18037004487562344,0.5348820376202286,10.482333848377797,25.690612177385226,-0.04311775322459416
2027-04-01,1.895591211815528,1.598964272130662,0.3558867780739474,18.77444756314797,0.17907208391792398,0.5320177862105291,10.594547078567997,25.689355387021127,-0.05925983838908152
2027-05-01,1.8880560282295376,1.6017980066741622,0.33018370926721674,17.48802494896487,0.16591628747945986,0.4938467282766767,9.75773609461235,24.08152370566948,-0.04392568771184151
2027-06-01,1.801849087605045,1.6046348173765632,0.2911931593106284,16.16079622393195,0.14612732217470223,0.43575232595934527,8.926498470181048,22.40268861942082,-0.09397888908214666
2027-07-01,1.7467728475575273,1.6074747042378659,0.250658481614375,14.349804095298655,0.12561718935902527,0.3752863112321424,7.899985422201478,20.02791869683306,-0.11136033829471342
2027-08-01,1.6550380583320266,1.6103176672580697,0.1806133531983687,10.91294259301769,0.09039251372567685,0.27055260201975306,5.858158784077716,15.45106827747115,-0.13589296212441193
